mode,seed,n_cal,n_test,test_accuracy,hpre_layer,hpre_sign,hpre_cal_auc,logit_layer,logit_sign,logit_cal_auc,hnorm_layer,hnorm_sign,hnorm_cal_auc,logit_base_auroc,logit_plus_hpre_auroc,logit_delta,full_base_auroc,full_plus_hpre_auroc,full_delta
dynamic_cal_selected_layers,36,700,300,0.6266666666666667,0,-1,0.6921774496199129,13,1,0.7355885458940992,13,1,0.7088995365642919,0.6954787234042553,0.6914893617021276,-0.003989361702127714,0.6916318389057752,0.6922017477203647,0.0005699088145895148
fixed_seed42_layers,36,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6954787234042553,0.6917268237082066,-0.0037518996960487216,0.6916318389057752,0.6957161854103343,0.004084346504559133
dynamic_cal_selected_layers,37,700,300,0.6266666666666667,0,-1,0.6935302280522608,14,1,0.7306225399069638,13,1,0.7081053247104618,0.7058320668693009,0.7057845744680851,-4.7492401215820657e-05,0.7064969604863222,0.7079692249240122,0.0014722644376899963
fixed_seed42_layers,37,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7061170212765958,0.7079217325227963,0.0018047112462005188,0.705072188449848,0.7182750759878419,0.013202887537993924
dynamic_cal_selected_layers,38,700,300,0.6266666666666667,0,-1,0.6777463584077361,14,1,0.7162394505101284,14,1,0.6928145646235349,0.741926291793313,0.7428286474164133,0.0009023556231002594,0.7423537234042553,0.743161094224924,0.0008073708206687291
fixed_seed42_layers,38,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7435885258358663,0.7536569148936171,0.01006838905775076,0.7428761398176291,0.759308510638298,0.01643237082066884
dynamic_cal_selected_layers,39,700,300,0.6266666666666667,0,-1,0.6815821398336519,14,1,0.7133506139868563,13,1,0.6955637595021774,0.7466755319148936,0.7533719604863223,0.006696428571428714,0.7450132978723405,0.7519946808510638,0.006981382978723305
fixed_seed42_layers,39,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7490501519756839,0.7581212006079028,0.009071048632218859,0.7468655015197568,0.7653400455927051,0.01847454407294824
dynamic_cal_selected_layers,40,700,300,0.6266666666666667,0,-1,0.7038768011590257,13,1,0.7438884961467634,13,1,0.7189799177859817,0.6721124620060791,0.6752469604863223,0.003134498480243164,0.672824848024316,0.678428951367781,0.005604103343465061
fixed_seed42_layers,40,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6721124620060791,0.6752469604863222,0.003134498480243053,0.672824848024316,0.6923442249240123,0.019519376899696295
dynamic_cal_selected_layers,41,700,300,0.6266666666666667,0,-1,0.6986009652728684,13,1,0.7337033836916014,13,1,0.7138044493319019,0.7054046352583587,0.7122910334346504,0.006886398176291664,0.705832066869301,0.7102013677811551,0.004369300911854057
fixed_seed42_layers,41,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7054046352583587,0.7144756838905776,0.009071048632218859,0.705832066869301,0.7240691489361702,0.018237082066869248
dynamic_cal_selected_layers,42,700,300,0.6266666666666667,30,-1,0.6873423576746176,13,1,0.7217552954729924,13,1,0.7030607702982221,0.7314779635258359,0.7365596504559271,0.005081686930091145,0.7267287234042554,0.7430186170212766,0.016289893617021156
fixed_seed42_layers,42,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7314779635258359,0.7365596504559271,0.005081686930091145,0.7267287234042554,0.7430186170212766,0.016289893617021156
dynamic_cal_selected_layers,43,700,300,0.6266666666666667,0,-1,0.70076977456602,14,1,0.7382504647448485,14,1,0.7157070667399785,0.693579027355623,0.6941489361702126,0.0005699088145895148,0.6919642857142857,0.6946238601823709,0.0026595744680851796
fixed_seed42_layers,43,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7026025835866261,0.7084916413373861,0.005889057750759985,0.7005129179331308,0.7159479483282676,0.015435030395136828
dynamic_cal_selected_layers,44,700,300,0.6266666666666667,0,-1,0.6886602256958081,14,1,0.7210483596470558,13,1,0.7040818998245753,0.7311455167173251,0.7322853343465046,0.0011398176291794737,0.7306231003039515,0.7342800151975684,0.0036569148936168583
